,prices,address,links,beds,baths,sq_feet
0,436900.0, 6104 Diamondleaf Bnd Austin TX 78724 ,https://www.zillow.com/homedetails/6104-Diamondleaf-Bnd-Austin-TX-78724/305427159_zpid/,3,3,1795
1,513900.0, 1919 Ravenscroft Dr Austin TX 78748 ,https://www.zillow.com/homedetails/1919-Ravenscroft-Dr-Austin-TX-78748/29514230_zpid/,4,3,2798
2,514900.0, 1700 Pine Knoll Dr Austin TX 78758 ,https://www.zillow.com/homedetails/1700-Pine-Knoll-Dr-Austin-TX-78758/29432808_zpid/,3,2,1183
3,798000.0, 138 Desert Willow Way Austin TX 78737 ,https://www.zillow.com/homedetails/138-Desert-Willow-Way-Austin-TX-78737/84076605_zpid/,4,3,3405
4,249900.0, 4606 Magin Meadow Dr Austin TX 78744 ,https://www.zillow.com/homedetails/4606-Magin-Meadow-Dr-Austin-TX-78744/70335241_zpid/,3,2,1123
5,475000.0, 1525 Gautami Dr Austin TX 78753 ,https://www.zillow.com/homedetails/1525-Gautami-Dr-Austin-TX-78753/145550757_zpid/,5,3,2981
6,375000.0, 2508 W 12th St APT 203 Austin TX 78703 ,https://www.zillow.com/homedetails/2508-W-12th-St-APT-203-Austin-TX-78703/29332260_zpid/,2,2,922
7,1125000.0, 3400 Beartree Cir Austin TX 78730 ,https://www.zillow.com/homedetails/3400-Beartree-Cir-Austin-TX-78730/29344881_zpid/,5,5,3734
8,350000.0, 10017 Gertrudis Loop Austin TX 78747 ,https://www.zillow.com/homedetails/10017-Gertrudis-Loop-Austin-TX-78747/241933347_zpid/,3,2,1363
9,479900.0, 8205 Brettonwoods Ln Austin TX 78753 ,https://www.zillow.com/homedetails/8205-Brettonwoods-Ln-Austin-TX-78753/29419674_zpid/,3,3,1795
10,425000.0, 2200 Coats Cir Austin TX 78748 ,https://www.zillow.com/homedetails/2200-Coats-Cir-Austin-TX-78748/29513264_zpid/,4,3,2798
11,625000.0, 9209 Ovalla Dr Austin TX 78749 ,https://www.zillow.com/homedetails/9209-Ovalla-Dr-Austin-TX-78749/64726815_zpid/,3,2,1183
12,699000.0, 15817 Pearson Brothers Dr Austin TX 78717 ,https://www.zillow.com/homedetails/15817-Pearson-Brothers-Dr-Austin-TX-78717/111971343_zpid/,4,3,3405
13,689000.0, 9308 Edwardson Ln Austin TX 78749 ,https://www.zillow.com/homedetails/9308-Edwardson-Ln-Austin-TX-78749/29491937_zpid/,3,2,1123
14,725000.0, 170 Turks Cap Pass Austin TX 78737 ,https://www.zillow.com/homedetails/170-Turks-Cap-Pass-Austin-TX-78737/111965133_zpid/,5,3,2981
15,495000.0, 10400 Bentley Dr Austin TX 78748 ,https://www.zillow.com/homedetails/10400-Bentley-Dr-Austin-TX-78748/70332530_zpid/,2,2,922
16,595000.0, 6025 Morning Dew Dr Austin TX 78749 ,https://www.zillow.com/homedetails/6025-Morning-Dew-Dr-Austin-TX-78749/29478935_zpid/,5,5,3734
17,469000.0, 607 Elderberry Cv Austin TX 78745 ,https://www.zillow.com/homedetails/607-Elderberry-Cv-Austin-TX-78745/29502745_zpid/,3,2,1363
18,675000.0, 1104 Myrtle St Austin TX 78702 ,https://www.zillow.com/homedetails/1104-Myrtle-St-Austin-TX-78702/29387551_zpid/,3,2,1116
19,420000.0, 9021 Kimono Ridge Dr Austin TX 78748 ,https://www.zillow.com/homedetails/9021-Kimono-Ridge-Dr-Austin-TX-78748/58316653_zpid/,3,3,1537
20,524900.0, 910 E 55th St Austin TX 78751 ,https://www.zillow.com/homedetails/910-E-55th-St-Austin-TX-78751/29406734_zpid/,3,2,1248
21,609000.0, 4503 Frontier Trl Austin TX 78745 ,https://www.zillow.com/homedetails/4503-Frontier-Trl-Austin-TX-78745/58312626_zpid/,4,3,1841
22,340000.0, 3839 Dry Creek Dr UNIT 134 Austin TX 78731 ,https://www.zillow.com/homedetails/3839-Dry-Creek-Dr-UNIT-134-Austin-TX-78731/29346028_zpid/,2,2,967
23,719000.0, 5916 Rickerhill Ln Austin TX 78739 ,https://www.zillow.com/homedetails/5916-Rickerhill-Ln-Austin-TX-78739/29507712_zpid/,4,3,2763
24,510000.0, 13905 Eucalyptus Bnd Austin TX 78717 ,https://www.zillow.com/homedetails/13905-Eucalyptus-Bnd-Austin-TX-78717/250927963_zpid/,3,3,1896
